ORGANIZATION,ADDRESS,Tel,FAX,WEBSITE,EMAIL,lon,lat
AMKFSC Community Services Ltd - Cheng San,Blk 445 Ang Mo Kio Avenue 10 #01-1647 Singapore 560445,6457 8559,6457 1225,www.amkfsc.org.sg,amkfsc@starhub.net.sg,103.855623,1.36701
AMKFSC Community Services Ltd - COMNET Senior Serv,Blk 469  Ang Mo Kio Avenue 10 #01-940 Singapore 560469,6451 0898,6451 0547,www.amkfsc.org.sg,stevenpeh@amkfsc.org.sg,103.8566617,1.3645762
AMKFSC Community Services Ltd - NRS,Blk 11 Changi North Way  #04-03 Serial I-Tech Singapore 498796,6241 2593,-,-,-,103.971877,1.353027
AMKFSC Community Services Ltd - Punggol,Blk 616 Punggol Drive #01-01 Singapore 820616,6435 5323,6444 0311,www.amkfsc.org.sg,punggol@amkfsc.org.sg,103.9086519,1.4051034
AMKFSC Community Services Ltd - Sengkang,Blk 223D Compassvale Walk #01-673 Singapore 544223,6312 8100,6312 5631,www.amkfsc.org.sg,sengkang@amkfsc.org.sg,103.8975883,1.3893208
AMKFSC Community Services Ltd - Transition Plus,Blk 118D Jalan Membina #01-1111 Singapore 164118,8292 1158,-,www.amkfsc.org.sg,transitionplus@amkfsc.org.sg,103.8268112,1.2826578
Anglican Cluster Operator @ Jurong East,Blk 374  Jurong East Street 32 #01-486 Singapore 600374,6262 1183,6262 0435,www.sacs.org.sg,naixiang_hui@sacs.org.sg,103.732657,1.34968
APSN Delta Senior School,Blk 3  Choa Chu Kang Grove Singapore  688237,6276 3818,6468 3608,www.apsn.org.sg,dss@apsn.org.sg,103.7498279,1.3742452
APSN Katong School,Blk 900 New Upper Changi Road Singapore 467354,6643 0307,6445 6313,www.apsn.org.sg,ks@apsn.org.sg,103.9428662,1.3255854
Archdiocese Commission for the Pastoral Care of Migrants & Itinerant People,Blk 2 Highland Road #03-19 Singapore 549102,6280 5424,6284 8156,www.migrants.org.sg,migrants@singnet.com.sg,103.8766361,1.35597
As-Salaam Family Support Centre,Blk 322 Ubi Avenue 1 #01-591 Singapore 400322,6745 5862,6743 2749,www.ppis.sg,as-salaam@ppis.sg,103.9049672,1.3283188
Assisi  Hospice,Blk 820 Thomson Road  Singapore 574623,6347 6446,6253 5312,www.assisihospice.org.sg,assisi@assisihospice.org.sg,103.8379548,1.3419083
Association of Muslim Professionals,Blk 1 Pasir Ris Drive 4 #05-11 519457,6416 3966,6583 8028,www.amp.org.sg,corporate@amp.org.sg,103.9589699,1.369059
Autism Association (Singapore),Blk 101 Bukit Batok West Avenue 3 #01-01 Singapore 659168,6592 5627,6592 5626,www.autismlinks.org.sg,enquiry@autism-association.org.sg,103.7430524,1.3509206
AWWA Family Service Centre,Blk 107 Towner Road #01-356 Singapore 321107,6511 9456,6291 6639,www.awwa.org.sg,awwafsc@awwa.org.sg,103.859748,1.3190464
AWWA Health and Senior Care,Blk 123 Ang Mo Kio Ave 6 #03-4033 560123,6456 2557,6553 0752,www.awwa.org.sg,awwahome@awwa.org.sg,103.8448587,1.3704367
AWWA Integrated Home and Day Care,Blk 6 Boon Keng Road  #01-52 Singapore    330006,6511 5250,-,www.awwa.org.sg,ihdc@awwa.org.sg,103.8628633,1.3166783
AWWA Ltd Disability Support,Blk 9 Lorong Napiri Singapore 547531,6511 5255,6511 5208,www.awwa.org.sg,pcaredisability@awwa.org.sg,103.8785571,1.3723548
AWWA School,Blk 11  Lorong Napiri Singapore 547532,6511 5280,6511 5281,www.awwa.org.sg,awwaschool@awwa.org.sg,103.878994,1.3726501
AWWA Transitional Shelter,Blk 46 Lengkok Bahru #01-255 Singapore 150046,6511 7272,-,www.awwa.org.sg,ts@awwa.org.sg,103.8126376,1.28705
Babes Pregnancy Crisis Support Ltd,Blk 26 Jalan Klinik #01-42/52 Singapore 160026,6664 8591,6274 0633,www.babes.org.sg,hello@babes.org.sg,103.8283736,1.288261
Beautiful People Sg Ltd,Blk 1 Lorong 2 Toa Payoh #07-00 Braddell House Singapore 319637,63480480,-,www.beautifulpeople.org.sg,contact@beautifulpeople.org.sg,103.8474403,1.3402113
Bethesda C. A. R. E. Centre,Blk 242 Hougang Street 22 #01-93 Singapore 530242,6488 0267,6383 0625,www.bcare.org.sg,admin@bcare.org.sg,103.892167,1.3573638
Bethesda Care & Counselling Services Centre,Blk 300 Bedok North Avenue 3 Singapore 469717,6445 1500,6443 0733,www.bccsc.org,admin@bccsc.org,103.934759,1.331242
Beyond Social Services,Blk 26 Jalan Klinik #01-42/52 Singapore  160026,6375 2940,6372 1656,www.beyond.org.sg,mail@beyond.org.sg,103.8283736,1.288261
Bishan Home For The Intellectually Disabled,Blk 6 Bishan Street 13 Singapore  579798,6353 3515,6353 6753,info.bishanhome.org.sg,info@bishanhome.org.sg,103.8550497,1.3476352
Bishan Toa Payoh CCC North Child Care & Delpmt Ctr,Blk 199 Toa Payoh North #01-1019 Singapore 310199,6256 1949,6250 2810,www.btptc.org.sg,pamphua7@pacific.net.sg,103.8506561,1.3419864
Bizlink Centre Singapore Ltd,Blk 512 Chai Chee Lane Bedok Industrial Estate #01-09 Singapore 469028,6449 5652,6449 5694,www.bizlink.org.sg,-,103.9175359,1.3306073
Blossom World Society,Blk 9 Toh Yi Drive #01-321 Singapore  590009,9737 0049,-,www.blossomworld.sg,tong.likheng@gmail.com,103.7735755,1.3382686
Boy's Town Singapore,Blk 624 Upper Bukit Timah Road  678212,66905420,67627846,www.boystown.org.sg,rajan@boystown.org.sg,103.7674889,1.3696851
Brahm Centre Ltd - Novena,"Blk 71  Irrawaddy Road, Ren Ci Hospital  #03-09 Singapore 329562",6258 0831,-,www.brahmcentre.com,info@brahmcentre.com,103.8458206,1.3230139
Bright Hill Evergreen Home,Blk 100 Punggol Field Singapore 828811,6459 3492,6452 2507,www.bheh.org,enquiry@bheh.org,103.9151626,1.3921916
Bright Vision Hospital,Blk 5 Lorong Napiri Singapore 547530,6248 5755,6881 3872,www.bvh.org.sg,caremail@singnet.com.sg,103.8780833,1.3719348
Care Community Services Society,Blk 247 Trinity @ Paya Lebar Paya Labar Road #03-02 Singapore 409045,6304 7604,6743 9950,www.carecom.org.sg,ccss@carecom.org.sg,103.8888785,1.3313734
Care Corner - Circle of Care Child Services,Blk 624B Woodlands Drive 52  #01-19 Singapore 732624,6835 0921,6825 0922,www.circleofcare.sg,circleofcare@carecorner.org.sg,103.8002685,1.4343509
Care Corner - Teck Ghee Youth Centre,Blk 346 Ang Mo Kio Aveue 3 #01-2280 Singapore 560346,6554 7100,6554 7105,www.carecorner.org.sg,cc-tgyc@carecorner.org.sg,103.8497283,1.3671343
Care Corner Cluster Support @ Toa Payoh,Blk 62B  Lor 4 Toa Payoh  #02-121 Singapore  312062,62586601,62587550,www.carecorner.org.sg,tp.cs@carecorner.org.sg,103.851177,1.3357852
Care Corner Cluster Support @ Woodlands,Blk 4  Marsiling Road  #03-5079 Singapore 730004,6570 3919,6570 3528,www.carecorner.org.sg,wl.cs@carecorner.org.sg,103.7763951,1.4393451
Care Corner Counselling Centre,Blk 62B Lorong 4 Toa Payoh #02-143 Singapore 312062,6353 1180,6354 1180,www.carecorner.org.sg,cccc@carecorner.org.sg,103.85115,1.3357851
Care Corner Family Service Centre - Admiralty,Blk 718 Woodlands Avenue 6 #01-658 730718,6365 8751,6365 6267,www.carecorner.org.sg,"am.fsc@carecorner.org.sg,",103.8012291,1.4419608
Care Corner Family Service Centre - Queenstown,Blk 88 Tanglin Halt Road #05-01 Singapore 141088,6476 1481,6476 1483,www.carecorner.org.sg,qt.fsc@carecorner.org.sg,103.7985786,1.3010063
Care Corner Family Service Centre - Tampines,Blk 299B Tampines Street 22 #01-670 Singapore 522299,6786 6225,6786 6077,www.carecorner.org.sg,tmfsc@carecorner.org.sg,103.954147,1.349515
Care Corner Family Service Centre - Toa Payoh,Blk 158 Lorong 1 Toa Payoh #01-1522 Singapore 310158,6356 1622,6356 1623,www.carecorner.org.sg,tp.fsc@carecorner.org.sg,103.8449493,1.3314779
Care Corner Family Service Centre - Woodlands,Blk 345 Woodlands Street 32 #01-198 Singapore 730345,6362 2481,6362 4842,www.carecorner.org.sg,wl.fsc@carecorner.org.sg,103.7802694,1.432463
Care Corner Project StART,Blk 7A Commonwealth Avenue  #01-672 Singapore 141007,6476 1482,6779 7995,www.carecorner.org.sg,projectstart@carecorner.org.sg,103.7953467,1.3067196
Care Corner Senior Services Ltd,Blk 235 Toa Payoh Lorong 8 #01-100 Singapore 310235,6253 6979,6253 7216,www.carecorner.org.sg,tp.sdc@carecorner.org.sg,103.8592479,1.3352931
Care Corner Singapore Ltd,Blk 8   New Industrial Road #06-03  LHK3 Building 536200,6250 6813,6253 7946,www.carecorner.org.sg,sarahng@carecorner.org.sg,103.8855308,1.3417361
Care Corner Singapore Ltd - Youth Go!,Blk Blk 943  Tampines Avenue 5 #01-271 Singapore  520943,6786 6061,6786 6187,www.carecorner.org.sg,youthgo@carecorner.org.sg,103.941165,1.350297
Caregiving Welfare Association,Blk 3 Ghim Moh Road #01-294 Singapore 270003,6466 7957,6466 5927,www.cwa.org.sg,contact@cwa.org.sg,103.7876637,1.3127143
CareHub @ Alexandra Hospital,Blk 378 Alexandra Road Singapore 159964,6370 6614,-,www.ah.com.sg,AH_Enquiries@nuhs.edu.sg,103.8009269,1.2867597
Casa Raudha Women Home,Blk Jurong Point Post Office PO Box 455 Singapore  916416,68981316,68981376,www.casaraudha.org,enquiry@casaraudha.org,103.7067297,1.3397443
Cathedral Of The Good Shepherd,Blk A Queens Street  Singapore  188533,6337 2036,-,www.cathedral.catholic.sg,cathedral@catholic.org.sg,103.8512115,1.2960775
Catholic Welfare Services,Blk 55 Waterloo Street  #06-01 Singapore 187954,6339 4711,-,www.catholicwelfare.org.sg,jason@catholicwelfare.org.sg,103.8514941,1.298279
Central Singapore CDC (Programmes),Blk 490 HDB Hub BizThree Lorong 6 Toa Payoh #07-11 Singapore 310490,6715 7500,6370 9945,www.centralsingaporecdc.org.sg,-,103.848532,1.332516
Central Singapore CDC (SS BoonHua),"Blk 490 Toa Payoh Lor 6, HDB Hub, BizThree #04-10 Singapore 310490",6370 9471,-,www.centralsingapore.org.sg,pa-cscdc-ss@pa.gov.sg,103.8485945,1.3324516
Central Singapore Community Development Council,Blk 490 Toa Payoh Lor 6 HDB Hub BizThree #07-11 Singapore 310490,6370 9901,6397 2953,-,-,103.8482602,1.332457
Charis Centre,Blk 11 Woodlands Close #03-41 Singapore 737853,8323 8200,-,www.chariscentre.org.sg,joehsy82@chariscentre.org.sg,103.8026038,1.4344487
Chen Su Lan Methodist Children's Home,Blk 202 Serangoon Garden Way Singapore 566057,6713 9150,6713 9155,www.cslmch.org.sg,info@cslmch.org.sg,103.8614399,1.3674896
Cheng Hong Welfare Service Society,Blk 12 Eunos Crescent #01-2767 Singapore 400012,6748 2948,6844 5969,www.chenghongwelfare.org,tan.chengcheng@chenghongwelfare.org,103.9041506,1.3221993
Cheng San - Seletar CCC,Blk 6 Ang Mo Kio Street 53 Singapore 569205,64588222,-,-,aw_kai_hui@pa.gov.sg,103.8495381,1.3719787
Child@Street 11 Ltd,Blk 102 Ang Mo Kio Avenue 3 #01-1429 Singapore 560102,6455 3681,6455 3682,www.street11.org.sg,child@street11.org.sg,103.8392427,1.3706163
Children's Aid Society - Melrose,Blk 503 Clementi Road Singapore 599488,6467 3095,6462 0729,www.childrensaidsociety.org.sg,cashome@singnet.com.sg,103.776943,1.330492
Children's Cancer Foundation - KKH,Blk 100 Bukit Timah Road Level 7 Children\'s Tower Room 7 T01 Singapore 229899,6297 0203,6297 0121,www.ccf.org.sg,ccfkkh@ccf.org.sg,103.8468054,1.3106633
Children's Cancer Foundation - Novena,Blk 8  Sinaran Drive  #03-01 Novena Specialist Centre Singapore 307470,6229 3701,6229 3700,www.ccf.org.sg,admin@ccf.org.sg,103.8448451,1.3203779
Children's Cancer Foundation - NUH,Blk 5 Lower Kent Ridge Road  Level 4 Main Building  119074,6772 4472,6772 4470,www.ccf.org.sg,ccfnuh@ccf.org.sg,103.7839667,1.2944222
Chinese Development Assistance Council,Blk 65 Tanjong Katong Road Singapore 436957,6603 5599,6743 5240,www.cdac.org.sg,socialservices@cdac.org.sg,103.8946983,1.313525
Chong Hua Tong Senior Activity Centre,Blk 47 Owen Road #01-251 Singapore 210047,6294 3448,6299 4933,-,chtsac@singnet.com.sg,103.8500959,1.314897
Chong Pang Zone 4 RC,Blk 157 Yishun Street 11 #01-140 Singapore 760157,6853 4272,-,-,-,103.834008,1.432295
Christian Care Services,Blk 207-J Ponggol Seventeenth Avenue Singapore 829685,6440 8349,6440 8027,www.christian-care-services.org,care_centre@pacific.net.sg,103.903542,1.415387
Christian Outreach to the Handicapped,Blk 414 Tampines Street 41 #01-301 Singapore 520414,6787 3200,6787 6990,www.coh.org.sg,admin@coh.org.sg,103.9462019,1.3597464
Church of Our Saviour,Blk 203  Henderson Road (Wing A) #09-13 Singapore 159546,6885 0700,-,www.coos.org.sg,patricialoh@coos.org.sg,103.8212455,1.281749
City Harvest Community Services Association,Blk 12  Pine Close #01-85 Singapore  391012,6835 9916,6835 9915,www.chcsa.org.sg,info@chcsa.org.sg,103.882991,1.3078964
Club Heal,Blk 244 Bukit Batok East Avenue 5 #01-02 Singapore 650244,6899 3463,-,www.clubheal.org.sg,info@clubheal.org.sg,103.7570247,1.3491241
Club Rainbow,Blk 538 Upper Cross Street #05-263 Singapore 050538,6377 1789,6271 8189,www.clubrainbow.org,contact@clubrainbow.org,103.845761,1.285205
Commontown,Blk 85 East Coast Road  428787,6342 5060,-,-,-,103.9039283,1.3055069
Community Justice Centre,Blk 1 Havelock Square Level 1 State Courts Complex Singapore 059724,6557 4100,-,www.cjc.org.sg,help@cjc.org.sg,103.8426847,1.2868656
Comunity Rehabilitation and Support Service,Blk 534 Pasir Ris Drive1 #01-266 Singaore 510534,6584 4633,6581 7614,www.sacs.org.sg,admin@sacs.org.sg,103.950769,1.370341
Cornerstone Community Services,Blk 39 Ean Kiam Place  Singapore  429124,63448063,63447321,www.cornerstoneservices.org.sg,info@cornerstoneservices.org.sg,103.901654,1.3051784
DaySpring New Life Centre,Blk 233 Turf Club Road Singapore 287983,6463 0182,-,www.dayspring.org.sg,nlc@dayspring.org.sg,103.792816,1.334605
Disabled People's Association,Blk 25 International Business Park German Centre  #04-77 Singapore 609916,6899 1220,6899 1232,www.dpa.org.sg,dpa@dpa.org.sg,103.7464857,1.3249762
Dover Park Hospice,Blk 10  Jalan Tan Tock Seng Singapore  308436,6500 7272,6258 9007,www.doverpark.org.sg,info@doverpark.org.sg,103.8491279,1.320539
Early Childhood Development Agency (ECDA),Blk 51 Cuppage Road #08-01 Singapore 229469,6736 7570,6735 9221​​,www.ecda.gov.sg,contact@ecda.gov.sg,103.8401706,1.3028594
Emmanuel Evangelical Free Church,"Blk  307 Pasir Panjang Road, Singapore  118647",6777 1341,6774 7934,www.emmanuelefc.org.sg,office@emmanuelefc.org.sg,103.7788258,1.287441
En Community Services Society,Blk 2  Kallang Avenue  #06-14  CT HUB  Singap,6788 6625,6788 6642,www.ecss.org.sg,encom@ecss.org.sg,103.8629742,1.3123281
EQUAL-ARK Singapore Limited,Blk 100 Jalan Mashhor Singapore 299177,8126 8366,-,www.equal.org.sg,info@equal.org.sg,103.8330424,1.3353939
Extraordinary People Limited,Blk 402 Joo Chiat Place  Singapore 428082,6286 5088,-,www.extraordinarypeople.sg,contact@extraordinarypeople.sg,103.9105941,1.3149753
FaithActs,Blk 50 Commonwealth Drive #01-506 Singapore  142050,6339 7611,6339 5220,www.faithacts.org.sg,info@faithacts.org.sg,103.7970565,1.3009708
Family Life First,Blk 2 Joo Chiat Road 04-1127 420002,6848 4735,6848 4911,www.familylifectre.org,admin@familylifefirst.org,103.8985073,1.3151191
Fei Yue - Early Intervention Centre For Children,Blk 101 Jurong East Street 13  #01-170 Singapore  600101,6565 6260,6565 7455,www.fycs.org,admin@fycs.org,103.7385,1.336717
Fei Yue Cluster Support (CCK/ Bukit Panjang),Blk 9 Teck Whye Lane #01-268  Singapore 680009,6893 6606,6893 6616,www.fycs.org,admin@fycs.org,103.7538887,1.3800525
Fei Yue Community Service - Family Resource Centre,Blk 990  Upper Changi Road North Prison Link Centre (Changi) Level 2 Singapore 506968,6546 7460,6546 0610,www.fycs.org,admin@fycs.org,103.9700114,1.3585672
Fei Yue Community Services,Blk 165A Teck Whye Crescent #01-331 Singapore 681165,6380 9169,6380 9150,www.fycs.org,catherineheng@fycs.org,103.7503503,1.3825213
Fei Yue Community Services - COMIT,Blk 574  Choa Chu Kang Street 52  #01-296 Singapore  680574,6661 9488,6661 9480,www.fycs.org,admin@fycs.org,103.7444363,1.3948442
Fei Yue Community Services - Community Befriending,Blk 107 Commonwealth Crescent #01-230 Singapore  140107,64712022,64710012,-,wilfredchan@fycs.org,103.7967404,1.3091896
Fei Yue Community Services - Mental Health,Blk 107 Commonwealth Crescent #01-230 Singapore 140107,6471 2022,6471 0012,www.fycs.org,admin@fycs.org,103.7967404,1.3091896
Fei Yue Community Services - Prison Care Division,Blk 145 Simei Street 2 #01-06 Singapore  520145,6422 1574,6787 9943,thomaslim@fycs.org,-,103.9551276,1.3446974
Fei Yue Family Service Centre @ Bukit Batok,Blk 185 Bukit Batok West Avenue 6 #01-187 Singapore 650185,6569 0381,6569 5868,www.fycs.org,admin@fycs.org,103.7449625,1.347051
Fei Yue Family Service Centre @ Champions Way,Blk 569B Champions Way #01-380 Singapore 732569,6690 1000,6570 0797,www.fycs.org,admin@fycs.org,103.7897852,1.4298899
Fei Yue Family Service Centre @ Choa Chu Kang,Blk 280 Chua Chu Kang Avenue 3 #01-360 Singapore 620280,6762 5215,6782 8120,www.fycs.org,admin@fycs.org,103.742842,1.380767
Fei Yue Family Service Centre @ Yew Tee,Blk 604 Choa Chu Kang Street 62  #01-53 Singapore 680604,6416 2162,6416 2182,www.fycs.org,admin@fycs.org,103.7448918,1.3981521
Fei Yue Family Services @ Taman Jurong SSO,Blk 301A Corporation Drive Singapore 619773,6267 2900,6264 0694,www.fycs.org,admin@fycs.org,103.7221671,1.3349245
Fei Yue Senior Activity Centre @ Bukit Batok,Blk 210A  Bukit Batok Street 21 #01-294 Singapore  651210,6563 3662,-,www.fycs.org,nglingyin@fycs.org,103.7508684,1.3455705
Filos Community Services Ltd,Blk 408B Upper East Coast Road  Singapore 466484,6242 5978,6242 6039,www.filos.sg,info@filos.sg,103.939505,1.314406
Food From The Heart,Blk 130 Joo Seng Road #03-01 Singapore 368357,6280 4483,6280 4498,www.foodheart.org,info@foodheart.org,103.8829543,1.3375176
GEM New Start Centre Limited,Blk No 2 Springleaf View Singapore 787908,6266 3302,6266 0021,www.gemnsc.com,admin@gemnsc.com,103.8200824,1.3973915
Geylang East Home for the Aged,"Blk 97 Aljunied Crescent, Singapore #01-439 380097",6745 7880,6741 7948,www.geha.org.sg,enquiry@geha.org.sg,103.8855062,1.3212913
Girl Guides Singapore,"Blk  9 Bishan St 14, Singapore  579785",6259 9391,6259 5452,www.girlguides.org.sg,salima@girlguides.org.sg,103.8507907,1.353566
Gladiolus Place,Blk 6A  Mattar Road Singapore 387715,6348 5674,6348 5081,www.gladiolusplace.org.sg,info@gladiolusplace.org.sg,103.8824559,1.3248964
Good News Community Service Centre,"Blk  1 Francis Thomas Drive, Diocesan Centre Building 02-17 359340",6289 7611,6289 0312,-,admin@cor.org.sg,103.865741,1.329609
Grace Orchard School,Blk  6A Jurong West St 52  649297,6561 9128,6561 4133,www.go.edu.sg,infol@go.edu.sg,103.7181541,1.3476322
Habitat for Humanity Singapore,Blk  56 Lor 23 Geylang #05-00 Century Technology Building 388381,6744 7326,6844 5383,-,info@habitat.org.sg,103.8814532,1.3158699
Handicaps Welfare Association,Blk 16 Whampoa Drive  327725,6254 3006,6253 7375,www.hwa.org.sg,hwa@hwa.org.sg,103.8535764,1.321931
HCA Hospice Care,"Blk 705  Serangoon Road, Block A @Kwong Wai Shiu Hospital #03-01 Singapore 328127",6251 2561,6291 1076,www.hca.org.sg,pss@hcahospicecare.org.sg,103.8593269,1.317285
HCSA Dayspring,Blk 233 Turf Club Road Singapore 287984,6463 0182,-,www.hcsa.org.sg,administrator@dayspring.org.sg,103.792816,1.334605
HCSA Highpoint,Blk 1 Lorong 23 Geylang Singapore 388352,6440 2444,-,www.hcsa.org.sg,admin@hcsa.org.sg,103.8807911,1.3138042
HEART @ Fei Yue,Blk 20  Lengkok Bahru Block B #03-02 Singapore 159053,6819 9170,6819 9171,www.fycs.org,heartadmin@fycs.org,103.8147884,1.2872392
HEB - Ashram Halfway House,"Blk  30 Durban Road, Singapore  759642",6753 9730,6753 3727,-,enquiries@ashram.org.sg,103.8297454,1.4532873
HELP Family Service Centre,Blk 570 Ang Mo Kio Ave 3 #01-3317 560570,6457 5188,6457 5343,www.helpfsc.org.sg,chrysong@helpfsc.org.sg,103.8558859,1.3698332
Hira Society,Blk 537 Bedok North Street 3 #01-527 Singapore 460537,6636 3265,-,www.hirasociety.org.sg,info@hirasociety.org.sg,103.924946,1.3318947
Home Nursing Foundation,Blk 93 Toa Payoh Central Toa Payoh Central Community Building #07-10 319194,6854 5558,6255 5774,www.hnf.org.sg/,enquiries@hnf.org.sg,103.8504527,1.3345447
Hope Centre (Singapore),Blk 806  King George's Avenue #03-222 Singapore 200806,3157 3942,6294 0870,www.hopecentre.org.sg,office@hopecentre.org.sg,103.861059,1.308471
HOPE Worldwide,Blk 1 Edgefield Walk Singapore 828850,6312 9671,6343 8463,www.hopeww.org,-,103.9096411,1.4009747
Hougang Sheng Hong Family Service Centre,Blk 237 Hougang St 21 #01-406 530237,6289 5022,6289 8242,-,fsc@shenghong.org.sg,103.8883334,1.3568714
Hua Mei Care Management Service of TSAO Foundation,Blk 298 Tiong Bahru Road Central Plaza #15-01 Singapore 168730,6593 9596,6593 9566,www.tsaofoundation.org,-,103.8281439,1.2863212
"Hua Mei Centre For Successful Aging,Tsao Fdn","Blk  298 Tiong Bahru Rd, Central Plaza #15-01/06, Spore 168730",6593 9500,6276 7128,www.tsaofoundation.org,-,103.8281439,1.2863212
Hua Mei Mobile Clinic of TSAO Foundation,Blk 298 Tiong Bahru Road Central Plaza #15-01 Singapore 168730,6593 9565,6953 9566,www.tsaofoundation.org,hmsc@tsaofoundation.org,103.8281439,1.2863212
Humanitarian Organisation for Migration Economics,Blk 495  Geylang Road #02-01 Singapore 389453,6741 1725,-,home.org.sg,contact@home.org.sg,103.883814,1.313627
iC2 PrepHouse Limited,Blk 1 Jurong West Central 2 Jurong Point Shopping Centre #04-02 Singapore  648886,6790 1802,6790 1806,www.ic2.com.sg,admin@ic2.com.sg,103.7067297,1.3397443
Indus Moral CARE,Blk 79 Indus Rd  #01-451 Singapore 161079,6276 3283,6276 3203,-,indus@thkms.org.sg,103.8287358,1.2911109
Industrial & Services Co-operative Society Ltd,Blk 237 Alexandra Road The Alexcier #04-19 Singapore 159929,6743 7885,6472 1987,www.iscos.org.sg,ravan@iscos.org.sg,103.813821,1.291138
Infant Jesus Homes & Children's Centres,Blk 503  Ang Mo Kio Street 13 Singapore 569406,6459 4801,6459 3717,www.ijhcc.org,ijvolunteers@ijhcc.org,103.833694,1.374704
Inspirasi PPIS,Blk 322 Bukit Batok Street 33 #01-16 Singapore 650322,6561 1049,6564 9586,www.ppis.sg,inspirasi@ppis.sg,103.7475,1.3616918
Institute of Mental Health,Blk 10 Buangkok View  549747,6389 2000,6385 1053,www.imh.com.sg,-,103.8862926,1.3817415
Jalan Kayu Constituency Office c/o Hwi Yoh CC,Blk 535 Serangoon North Avenue 4 01-179 Singapore 550535,6484 0338,6484 0339,-,-,103.8754752,1.3751933
Jamiyah Nursing Home,Blk 130 West Coast Drive Singapore 127444,6776 8575,6776 8576,www.jamiyah.org.sg,jnh@jamiyah.org.sg,103.7594701,1.311067
Jenaris Home @ Pelangi Village,Blk 10 Buangkok Green Singapore 539753,6489 7642,6489 8114,-,sweugenegoh@gmail.com,103.8872242,1.3814132
Jia Ying Community Services Society,Blk 1 & 3 Valley Road Singapore 534449,6281 5025,6288 7456,-,enquiries@jiaying.org,103.88784,1.36199
Ju Eng Home For Senior Citizens,Blk 205 Jalan Kayu Singapore 799436,6484 6890,6484 6892,www.juenghome.org.sg,juenghome@jeh.org.sg,103.8722328,1.3943663
Jurong Health Services Pte Ltd,Blk 1 Jurong East Street 21 Singapore 609606,6716 3024,63973413,www.juronghealth.com.sg,lee_fern_wong@juronghealth.com.sg,103.7452086,1.333841
Just Parenting Association,Blk 3 Queen's Road  01-169 Singapore 260003,6471 5447,6472 1676,-,-,103.8068656,1.3179207
Kampong Kapor Community Services,Blk 2 Kitchener Road #03-89 Singapore 200002,6299 7662,6294 2116,www.kkfsc.org.sg,admin@kkfsc.org.sg,103.8592731,1.3079875
Kidney Dialysis Foundation,Blk 333 Kreta Ayer Road #03-33 Singapore 08033,6559 2630,6225 0080,www.kdf.org.sg,enquiries@kdf.org.sg,103.8422745,1.2810169
KK Women's & Children's Hospital - Medical Social,Blk 100 Bukit Timah Road Singapore 229899,6225 5554,6293 7933,www.kkh.com.sg,feedback@kkh.com.sg,103.8468054,1.3106633
Kong Meng San Phor Kark See Monastery,Blk 88 Bright Hill Road Singapore 574117,6849 5310,6452 6341,www.kmspks.org,counselling.services@kmspks.org,103.835812,1.361516
Kreta Ayer - Kim Seng C C C,Blk 28A Kreta Ayer Road Singapore 088995,6323 2758,6324 5530,-,-,103.842992,1.281155
Lakeside Family Centre - Jurong East,Blk 302 Jurong East Street 32 #01-22 Singapore 600302,6564 9722,6564 8422,www.lakeside.org.sg,lfcje@lakeside.org.sg,103.733758,1.3449493
